Node ID,USAGE_COUNT
Nazi,2
goodnews,1
newssource,1
story,1
slots,1
onlinecasino,1
poker,1
blackjack,1
sunset,1
ETF,1
tracker,1
sundayvibes,1
TheBigMig,6
Acela,1
GOPTraitors,4
Ontario,8
GreatLakes,8
BoilerUp,2
GOPFailedEastPalestine,1
gossipingcelebrities,1
celebritygossip,1
celebritygossips247,1
hollywoodsmile,1
hollywoodgossip,1
fashionstyle,1
beautytips,1
ncpol,4
OMG,1
Qrazy,1
DarkBrandon,1
3DChess,1
SickDays,1
ToxicDerailment,1
PublicRelations,1
tcot,4
toxictraincrash,1
ESG,4
LyingTedCruz,4
OhioChemicalSpillNorfolkSouthern,1
Carolina,1
NorfolkSouthernRailroadSafety,1
TMZLive,1
DonaldJTrump,1
times,2
House,1
MoronLiberalsSufferingFromTrumpDerangmentSyndrome,1
hazmat,1
Horning,1
antifa,2
bigguygets10,1
EastPalestineDerailment,4
JamesComer,1
Findlay,1
Louisville,1
Investornews,1
AmbulanceChasers,1
GOPsyOps,2
WakeUp,1
SCANALYST,1
eastpalistine,1
SafetyStandardsareEssential,3
CTEH,1
PalestineOhioDisaster,2
TrumpTrain,2
GOPDomesticTerrorists,2
noplans,1
reporters,1
visit,1
SilentNoMore,1
criminalNegligence,2
Vanguard,2
JPMorgan,2
WellsFargo,2
UKTraining4You,1
Training,1
DAILYBEAST,1
ChineseESGagenda,2
somosrepublicanos,1
FalseNarrative,2
MAGAFascists,2
CincinnatiBBT,1
IdentityPolitics,1
BidenWorstPresidentEver,1
オハイオチェルノブイリ,1
G7,1
BRICS,1
N11,1
ItsACoverUpPlan,3
cherbonyl,1
trainbrake,1
toxicfrieght,1
dangerous,1
oilandgas,1
firefighters,1
firenews,1
JinJordan,1
elites,1
rich,1
RichElites,1
BusinessWire,1
LITcrash,1
MAGAMoron,2
moron,1
losers,1
Safety1st,1
vote,2
USDOT,1
HigherPenalties,1
StricterRules,1
SaftyRegulations,1
ProfitOverPeople,1
5GenWarfare,1
ManufacturedCrises,1
GlobalistCabal,1
RedPill,1
